Sex,Education,Marriage,Age,Credit_Limit,Current_Bill,Prev_Bill1,Prev_Bill2,Prev_Bill3,Prev_Bill4,Prev_Bill5,Paid_Amt1,Paid_Amt2,Paid_Amt3,Paid_Amt4,Paid_Amt5,Unpaid1,Unpaid2,Unpaid3,Unpaid4,Unpaid5,Default
Female,University,Married,24,20000,3913,3102,689,0,0,0,0,689,0,0,0,3102,0,0,0,0,1
Female,University,Single,26,120000,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,1725,1682,2272,2455,3261,1
Female,University,Single,34,90000,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,12509,12059,13331,13948,14549,0
Female,University,Married,37,50000,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,46233,47272,27114,27859,28478,0
Male,University,Married,57,50000,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,3670,-846,10940,10146,18442,0
Male,Graduate,Single,37,50000,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,54569,55793,18737,18619,19024,0
Male,Graduate,Single,29,500000,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,357023,405007,504653,462764,460194,0
Female,University,Single,23,100000,11876,380,601,221,-159,567,380,601,0,581,1687,0,0,221,-740,-1120,0
Female,High School,Married,28,140000,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,10767,12108,11779,10793,2719,0
Male,High School,Single,35,20000,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,0,12790,0
Female,High School,Single,34,200000,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,7481,5523,2463,1528,-7,0
Female,Graduate,Single,51,260000,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,-148,0,-66,-14,13668,0
Female,University,Single,41,630000,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,5500,0,0,0,0,0
Male,University,Single,30,70000,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,64169,65701,63782,33137,35394,1
Male,Graduate,Single,29,250000,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,64060,60561,56696,53875,52512,0
Female,High School,Other,23,50000,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,29173,26616,27671,28331,28911,0
Male,Graduate,Single,24,20000,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,14810,17428,16838,17905,17454,1
Male,Graduate,Married,49,320000,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,236178,184663,-5866,-14144,0,0
Female,Graduate,Married,49,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Graduate,Single,29,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,High School,Single,39,130000,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,24688,22952,19616,9802,0,0
Female,University,Married,39,120000,316,316,316,0,632,316,316,316,0,632,316,0,0,0,0,0,1
Female,University,Single,26,70000,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,40438,41438,44006,43304,46012,1
